INFO 2024-07-23 22:11:40,058 autoreload Watching for file changes with StatReloader
INFO 2024-07-23 22:22:02,979 basehttp "GET /inbox/ HTTP/1.1" 200 7495
INFO 2024-07-23 22:22:05,239 basehttp "GET /trash/ HTTP/1.1" 200 9584
DEBUG 2024-07-23 22:22:24,369 views handle_trash_actions called
DEBUG 2024-07-23 22:22:24,370 views Action received: restore
DEBUG 2024-07-23 22:22:24,370 views Message IDs received: ['128', '127', '121', '120']
DEBUG 2024-07-23 22:22:24,370 views Restoring messages
DEBUG 2024-07-23 22:22:24,421 views Marking message 128 as not trashed by receiver
DEBUG 2024-07-23 22:22:24,422 views Saving message 128 state changes
DEBUG 2024-07-23 22:22:24,471 views Marking message 127 as not trashed by receiver
DEBUG 2024-07-23 22:22:24,472 views Saving message 127 state changes
DEBUG 2024-07-23 22:22:24,521 views Marking message 121 as not trashed by receiver
DEBUG 2024-07-23 22:22:24,521 views Saving message 121 state changes
DEBUG 2024-07-23 22:22:24,571 views Marking message 120 as not trashed by receiver
DEBUG 2024-07-23 22:22:24,571 views Saving message 120 state changes
INFO 2024-07-23 22:22:24,591 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:22:24,992 basehttp "GET /trash/ HTTP/1.1" 200 8339
INFO 2024-07-23 22:22:28,826 basehttp "GET /inbox/ HTTP/1.1" 200 8908
INFO 2024-07-23 22:22:35,005 basehttp "POST /bulk_trash_messages/ HTTP/1.1" 302 0
INFO 2024-07-23 22:22:35,523 basehttp "GET /inbox/ HTTP/1.1" 200 8209
INFO 2024-07-23 22:22:37,340 basehttp "GET /trash/ HTTP/1.1" 200 8954
DEBUG 2024-07-23 22:22:42,814 views handle_trash_actions called
DEBUG 2024-07-23 22:22:42,816 views Action received: delete
DEBUG 2024-07-23 22:22:42,816 views Message IDs received: ['128']
DEBUG 2024-07-23 22:22:42,817 views Deleting messages
DEBUG 2024-07-23 22:22:42,864 views Marking message 128 as deleted by receiver
DEBUG 2024-07-23 22:22:42,865 views Saving message 128 state changes
INFO 2024-07-23 22:22:42,883 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:22:43,326 basehttp "GET /trash/ HTTP/1.1" 200 8646
INFO 2024-07-23 22:22:46,144 basehttp "GET /message/127/ HTTP/1.1" 200 8310
DEBUG 2024-07-23 22:22:46,680 views Current user: MushroomHunter, message receiver: MushroomHunter
INFO 2024-07-23 22:22:46,714 basehttp "POST /mark_message_read/127/ HTTP/1.1" 200 42
INFO 2024-07-23 22:22:48,265 basehttp "POST /trash_message/127/ HTTP/1.1" 200 44
INFO 2024-07-23 22:22:48,890 basehttp "GET /inbox/ HTTP/1.1" 200 8209
INFO 2024-07-23 22:22:53,797 basehttp "GET /message/121/?origin=inbox HTTP/1.1" 200 8236
DEBUG 2024-07-23 22:22:54,433 views Current user: MushroomHunter, message receiver: MushroomHunter
INFO 2024-07-23 22:22:54,475 basehttp "POST /mark_message_read/121/ HTTP/1.1" 200 42
INFO 2024-07-23 22:22:57,622 basehttp "POST /trash_message/121/ HTTP/1.1" 200 44
INFO 2024-07-23 22:22:58,126 basehttp "GET /inbox/ HTTP/1.1" 200 7853
INFO 2024-07-23 22:23:02,739 basehttp "GET /trash/ HTTP/1.1" 200 8960
INFO 2024-07-23 22:23:07,087 basehttp "GET /message/127/ HTTP/1.1" 200 8310
DEBUG 2024-07-23 22:23:07,607 views Current user: MushroomHunter, message receiver: MushroomHunter
INFO 2024-07-23 22:23:07,641 basehttp "POST /mark_message_read/127/ HTTP/1.1" 200 42
INFO 2024-07-23 22:23:12,397 basehttp "POST /trash_message/127/ HTTP/1.1" 200 44
INFO 2024-07-23 22:23:12,929 basehttp "GET /inbox/ HTTP/1.1" 200 7853
